;Brand;Model;YearMonth;cleaned_Price;Price_Eval;Kilometer;Gear_Type;Fuel_Type;Consumption;CO2_g_km;Power_PS;Price_per_km;Fuel_Cost_per_100km;Annual_Fuel_Cost;CO2_per_year;CO2_Emission_Category
61;Opel;Corsa;2016-04-01;7700.0;Sehr guter Preis;79500.0;Schaltgetriebe;Benzin;5.6;128.0;90.0;0.09685534591194969;9.911999999999999;1834.46;2368.95;True
62;Ford;S-Max;2016-04-01;8990.0;Keine Information;124869.0;Schaltgetriebe;Benzin;;;160.0;0.07199545123289207;;;;True
63;Citroen;Grand C4 Picasso;2014-05-01;7400.0;Guter Preis;212400.0;Automatik;Diesel;4.4;115.0;150.0;0.03483992467043315;7.26;1343.64;2128.36;True
64;Dacia;Dokker;2015-11-01;7499.0;Sehr guter Preis;124100.0;Schaltgetriebe;Benzin;;;116.0;0.06042707493956487;;;;True
65;Volkswagen;Golf;2013-09-01;9999.0;Sehr guter Preis;40000.0;Schaltgetriebe;Benzin;6.5;152.0;122.0;0.249975;11.505;2129.28;2813.13;True
66;Skoda;Fabia;2014-03-01;8499.0;Sehr guter Preis;108100.0;Automatik;Benzin;5.3;126.0;105.0;0.07862164662349676;9.381;1736.18;2331.94;True
67;Volkswagen;Passat;2017-01-01;10900.0;Sehr guter Preis;207700.0;Automatik;Diesel;4.4;;150.0;0.05247953779489649;7.26;1343.64;;True
68;BMW;X3;2012-12-01;11990.0;Sehr guter Preis;143240.0;Automatik;Benzin;6.9;;184.0;0.08370566880759564;12.213000000000001;2260.32;;True
69;Mercedes-Benz;B 200;2011-06-01;11990.0;Sehr guter Preis;44375.0;Automatik;Benzin;7.5;180.0;136.0;0.27019718309859153;13.275;2456.86;3331.34;True
70;Audi;TT;2011-08-01;12900.0;Sehr guter Preis;175949.0;Automatik;Benzin;7.4;175.0;211.0;0.07331669972548864;13.098;2424.11;3238.8;True
71;Audi;A4;2016-02-01;13499.0;Guter Preis;211000.0;Automatik;Diesel;4.3;116.0;150.0;0.06397630331753555;7.095;1313.1;2146.86;True
72;Mercedes-Benz;S 400;;;Keine Information;;Keine Information;Keine Information;;;;;;;;True
73;Volkswagen;Touran;2013-02-01;9799.0;Sehr guter Preis;175451.0;Schaltgetriebe;Diesel;4.8;125.0;140.0;0.055850351380157426;7.919999999999999;1465.79;2313.43;True
74;Skoda;Octavia;2012-06-01;5999.0;Sehr guter Preis;125714.0;Schaltgetriebe;Benzin;6.3;148.0;122.0;0.047719426635060534;11.151;2063.77;2739.1;True
75;BMW;116;2014-12-01;8499.0;Fairer Preis;255050.0;Schaltgetriebe;Diesel;4.3;114.0;116.0;0.033322877867084884;7.095;1313.1;2109.85;True
76;Mercedes-Benz;A 180;2012-01-01;4910.0;Guter Preis;179000.0;Schaltgetriebe;Benzin;;;116.0;0.027430167597765363;;;;True
77;Peugeot;Traveller;2017-09-01;16995.0;Guter Preis;196000.0;Schaltgetriebe;Diesel;5.3;139.0;150.0;0.08670918367346939;8.745;1618.48;2572.54;True
78;Volkswagen;Passat Variant;2014-09-01;8999.0;Guter Preis;159946.0;Schaltgetriebe;Diesel;4.6;120.0;140.0;0.05626273867430258;7.589999999999999;1404.72;2220.89;True
79;Opel;Insignia;2014-01-01;5990.0;Fairer Preis;193545.0;Schaltgetriebe;Diesel;;;140.0;0.03094887493864476;;;;True
