brand,model,car_info,user_text,price,price_evaluation,kilometer,gear,date,fuel,power,consumption,co2
Volkswagen,Touareg,*PANORAMA*360°KAMERA*AHK*LUFTFE*MEMORY*R-,,25990,Fairer Preis,155000,,07/2015,Diesel,262,,
Volkswagen,Tiguan,2.0 TSI 4Motion DSG Sport & Style,,17400,Guter Preis,88122,,07/2015,Benzin,200,,
Volkswagen,Tiguan,1.5TSI Active+LED+CARPLAY+ACC+KAMERA,,22450,Guter Preis,93831,,11/2022,Benzin,150,,
Mercedes-Benz,GLA 200,AHK Bi-Xenon Kamera Navi Teilleder PDC,,21990,Fairer Preis,89972,,11/2015,Benzin,156,,
Audi,Q3,basis*8-fach*AHK*PDC*,,18450,Guter Preis,53800,,06/2016,Benzin,150,,
Volkswagen,Tiguan,2.0 TDI IQ.DRIVE|ACC|ParkPilot|el.AHK,,24300,Fairer Preis,84000,,12/2019,Diesel,150,,
Volkswagen,Tiguan,2.0 TSI DSG 4MOTION Highline | NAVI | ACC,,22580,Erhöhter Preis,92000,,04/2017,Benzin,179,,
Mercedes-Benz,GLA 200,AMG Line*PANO*KAMERA*1.HAND*NAVI*,,20990,Fairer Preis,82299,,06/2015,Benzin,156,,
Volkswagen,Tiguan,1.4 TSI Comfortline Virtual Cockpit AHK,,18990,Fairer Preis,86825,,08/2016,Benzin,150,,
Volkswagen,Tiguan,1.5TSI Aktiv+LED+CARPLAY+ACC+KAMERA,,21490,Guter Preis,91012,,12/2022,Benzin,131,,
Volkswagen,Tiguan,2x R Line 4x4 AHK Alcantara LED,,25799,Erhöhter Preis,95700,,02/2017,Benzin,220,,
Volkswagen,Tiguan,Comfortline BMT/4Motion Neue Mod.Digital,,18250,Fairer Preis,104000,,06/2016,Benzin,179,,
Mercedes-Benz,GLA 180,AMG Line Automatik NAVI Sitzheizung,,20722,Fairer Preis,96804,,03/2016,Benzin,122,,
Volkswagen,Tiguan,2.0 TSI 4Motion Sound LED Navi ACC,,22490,Fairer Preis,97049,,06/2017,Benzin,179,,
Dodge,Durango,"3.6 V6 7-SITZER/AHK/SHD/18""/72TKM",,22480,Sehr guter Preis,72335,,08/2017,Benzin,296,,
Opel,Mokka,X 1.4 Turbo INNOVATION (SCHIEBEDACH*LEDER),,16950,Ohne Bewertung,90884,,08/2017,Benzin,140,,
BMW,X3,xDrive 20i Advantage KLIMA+XENON+PDC+SITZHZG,,22450,Fairer Preis,85671,,06/2016,Benzin,184,,
BMW,X3,"20iA xDrive, 1.Hand, Panorama, AHK, Navi",,19850,Ohne Bewertung,80000,,04/2012,Benzin,184,,
BMW,X1,20i 184PS xDrive Automatik Sport Line Navi,,16749,Ohne Bewertung,97859,,11/2013,Benzin,184,,
Mercedes-Benz,GLA 200,*Style*Automatik*Bi-Xenon*Navi*Leder*,,17450,Ohne Bewertung,103000,,04/2014,Benzin,156,,
Volkswagen,Tiguan,2.0 TSI 4Motion DSG LED Navi Head-Up 360°,,22990,Erhöhter Preis,110588,,02/2017,Benzin,179,,
Volkswagen,Tiguan,Highline 2.0TSI 4Motion AHK PANO ACC VZE,,24490,Fairer Preis,85000,,04/2017,Benzin,179,,
Land,Rover Discovery Sport,DISCOVERY SPORT 7SITZ+NAV+XENON+KAMERA+ALLWETTER,,22890,Ohne Bewertung,93300,,05/2016,Diesel,150,,
Mercedes-Benz,GLC 250,GLC -Klasse GLC 250 d 4Matic,,26000,Guter Preis,127000,,10/2017,Diesel,204,,
Volkswagen,Tiguan,2.0 TSI DSG 4Mo. Highline ACTIVE-INFO LED,,22450,Fairer Preis,76550,,10/2016,Benzin,179,,
BMW,X1,xDrive20i A M Sport Aut. Panorama Klimaaut.,,22860,Fairer Preis,91880,,12/2016,Benzin,192,,
Volkswagen,Tiguan,R-Line 4Motion Nav SHZ ACC RFK Leder DSG,,25488,Fairer Preis,86500,,04/2017,Benzin,220,,
Hyundai,TUCSON,1.6 TGDI Passion 2WD Navi AHK Kamera 1.Hd,,17980,Guter Preis,94800,,03/2018,Benzin,177,,
BMW,X3,28i xDrive|Verkauf  an Händler/Export/Gewerbe,,16299,Ohne Bewertung,101196,,09/2013,Benzin,245,,
Mercedes-Benz,GLK 220,CDI BlueEfficiency 4Matic Xenon*Garantie,,17990,Ohne Bewertung,153227,,05/2014,Diesel,170,,
Volkswagen,Tiguan,1.4TSI Comfortline DSG Navi LED AHK,,18960,Guter Preis,81250,,09/2016,Benzin,150,,
Volkswagen,Tiguan,2.0 TDI SCR DSG Elegance *AHK*Standheizun,,24990,Fairer Preis,121209,,12/2020,Diesel,150,,
Mercedes-Benz,GLK 250,4Matic PANO NAVI AHK SHZ TEMPOMAT,,24999,Ohne Bewertung,117000,,03/2015,Benzin,211,,
Volkswagen,Tiguan,2.0 TSI Highline 4Motion,,19990,Erhöhter Preis,115000,,09/2016,Benzin,179,,
Volkswagen,Tiguan,1.4 TSI Comfortline LED Virtual Cockpit,,23950,Erhöhter Preis,79892,,03/2017,Benzin,150,,
Volkswagen,Tiguan,"AHK,LED,PDC,Kamera,Sitzheizung,Navi",,17350,Ohne Bewertung,99700,,09/2016,Benzin,125,,
Audi,Q2,35 1.5 TFSI S line LED Android Apple Tempomat,,24950,Fairer Preis,70974,,03/2021,Benzin,150,,
Volkswagen,Tiguan,1.4 TSI BMT Navi Spurhalte Sitzheizung,,21990,Erhöhter Preis,79192,,03/2017,Benzin,150,,
Volkswagen,Tiguan,"Lounge Sport & Style Automatik*AHK*18""",,16490,Fairer Preis,100000,,05/2016,Benzin,150,,
Volkswagen,Tiguan,Sound BMT 4M AHK|NAVI|ACC|2xKAMERA|4xSHZ|,,21590,Sehr guter Preis,100000,,10/2017,Benzin,179,,
Ford,Kuga,ST-Line 1.5 EcoBoost 4x4 Aut. Pano AHK Navi,,19350,Fairer Preis,91800,,05/2018,Benzin,182,,
