;Unnamed: 0;Brand;Model;YearMonth;cleaned_Price;Kilometer;Gear_Type;Fuel_Type;Consumption;CO2_g_km;Power_PS;Price_per_km;Fuel_Cost_per_100km;Annual_Fuel_Cost;CO2_per_year;CO2_Emission_Category;Marketplace;log_cleaned_price;log_price_per_km;log_CO2_Emission;log_CO2_per_year;car_age
51;51;BMW;X1;2011-05-01;9990.0;159478.0;Automatik;Diesel;5.9;155.0;177.0;0.06;9.735;1801.7;2868.66;True;Autoscout24.de;9.20943996673302;0.0582689081239757;5.049856007249537;7.961948834836955;13.682191780821919
52;52;Volkswagen;Tiguan;2013-11-01;13999.0;156000.0;Automatik;Diesel;5.9;154.0;177.0;0.09;9.735;1801.7;2850.15;True;Autoscout24.de;9.546812608597396;0.0861776962410523;5.043425116919247;7.9554777006468544;11.175342465753424
53;53;Nissan;Micra;2014-04-01;5990.0;57700.0;Schaltgetriebe;Benzin;6.002767237278468;;80.0;0.1;;;;True;Autoscout24.de;8.698013622083925;0.0953101798043248;;;10.761643835616438
54;54;Volkswagen;Polo;2012-10-01;3990.0;207000.0;Schaltgetriebe;Diesel;3.8;99.0;75.0;0.02;6.27;1160.42;1832.24;True;Autoscout24.de;8.291797105048733;0.0198026272961797;4.605170185988092;7.513840172165632;12.26027397260274
55;55;Volkswagen;Golf;2016-07-01;12880.0;176000.0;Automatik;Diesel;4.5;119.0;184.0;0.07;7.425;1374.18;2202.39;True;Autoscout24.de;9.463508636396089;0.0676586484738148;4.787491742782046;7.697752362455074;8.509589041095891
56;56;Audi;A4;2020-12-01;16550.0;197329.0;Automatik;Diesel;4.1;109.0;136.0;0.08;6.764999999999999;1252.03;2017.31;True;Autoscout24.de;9.71420180194054;0.0769610411361283;4.700480365792417;7.610015806558616;4.087671232876712
57;57;Seat;Leon;2013-03-01;6880.0;129000.0;Schaltgetriebe;Benzin;4.9;116.0;105.0;0.05;8.673;1605.15;2146.86;True;Autoscout24.de;8.83651926920248;0.048790164169432;4.762173934797756;7.672227276595896;11.846575342465753
58;58;Mercedes-Benz;B 200;2013-09-01;10890.0;122000.0;Schaltgetriebe;Benzin;5.91683242662933;;156.0;0.09;;;;True;Autoscout24.de;9.295692039075686;0.0861776962410523;;;11.342465753424657
59;59;Opel;Corsa;2014-10-01;5590.0;80281.0;Schaltgetriebe;Benzin;5.5;146.0;69.0;0.07;9.735;1801.7;2702.09;True;Autoscout24.de;8.628913441026645;0.0676586484738148;4.990432586778736;7.90215084205954;10.26027397260274
60;60;Ford;Focus;2013-10-01;4650.0;153544.0;Schaltgetriebe;Benzin;5.1;121.0;125.0;0.03;9.027;1670.67;2239.4;True;Autoscout24.de;8.444837529224097;0.0295588022415444;4.804021044733257;7.714409700335677;11.26027397260274
61;61;Ford;Focus;2016-12-01;7980.0;139950.0;Schaltgetriebe;Benzin;5.6;128.0;150.0;0.06;9.912;1834.46;2368.95;True;Autoscout24.de;8.984818995876008;0.0582689081239757;4.859812404361672;7.770624136860217;8.09041095890411
62;62;Nissan;Pathfinder;2015-02-01;10980.0;233348.0;Automatik;Diesel;9.0;238.0;190.0;0.05;14.85;2748.36;4404.77;True;Autoscout24.de;9.303921785597714;0.048790164169432;5.476463551931511;8.39067032445639;9.923287671232877
63;63;Volkswagen;Golf;2016-07-01;10890.0;180000.0;Schaltgetriebe;Diesel;4.2;109.0;150.0;0.06;6.93;1282.57;2017.31;True;Autoscout24.de;9.295692039075686;0.0582689081239757;4.700480365792417;7.610015806558616;8.509589041095891
64;64;Porsche;Macan;2015-06-01;20990.0;272000.0;Automatik;Diesel;6.3;167.0;258.0;0.08;10.395;1923.85;3090.75;True;Autoscout24.de;9.951849053414008;0.0769610411361283;5.123963979403259;8.036492552622166;9.594520547945205
65;65;Toyota;Aygo;2012-06-01;4910.0;86617.0;Schaltgetriebe;Benzin;5.856084417275877;;68.0;0.06;;;;True;Autoscout24.de;8.499232866039245;0.0582689081239757;;;12.594520547945205
66;66;Mercedes-Benz;Vito;2019-10-01;14900.0;263211.0;Automatik;Diesel;6.6;174.0;136.0;0.06;10.89;2015.46;3220.3;True;Autoscout24.de;9.60918360377546;0.0582689081239757;5.1647859739235145;8.07754028377083;5.257534246575342
67;67;Volkswagen;Touran;2011-07-01;5990.0;219870.0;Schaltgetriebe;Benzin;6.8;159.0;140.0;0.03;12.036;2227.56;2942.69;True;Autoscout24.de;8.698013622083925;0.0295588022415444;5.075173815233827;7.987419175391404;13.515068493150684
68;68;Audi;A1;2015-02-01;9989.0;117450.0;Schaltgetriebe;Benzin;4.7;;140.0;0.09;8.319;1539.64;;True;Autoscout24.de;9.2093398716426;0.0861776962410523;;;9.923287671232877
69;69;Peugeot;RCZ;2011-07-01;11490.0;63427.0;Automatik;Benzin;7.3;168.0;156.0;0.18;12.921;2391.35;3109.25;True;Autoscout24.de;9.349319399257634;0.1655144384775733;5.1298987149230735;8.0424583877946;13.515068493150684
70;70;Volkswagen;CC;2011-06-01;10900.0;141000.0;Schaltgetriebe;Diesel;4.7;125.0;140.0;0.08;7.755;1435.25;2313.43;True;Autoscout24.de;9.29660980712836;0.0769610411361283;4.836281906951478;7.7469187159007635;13.597260273972603
71;71;Hyundai;iX35;2012-06-01;5650.0;300000.0;Schaltgetriebe;Diesel;5.8;154.0;136.0;0.02;9.57;1771.16;2850.15;True;Autoscout24.de;8.639587799629844;0.0198026272961797;5.043425116919247;7.9554777006468544;12.594520547945205
