Brand,Model,Kilometers,BuildYear,Transmission,Fuel,Power,l/Km,Emission,CurrentPrice
Ford,Fiesta,37.500 km,07/2021,Manuell,Benzin,55 kW (75 PS),3l/100km,121g CO2/km (WLTP,15.389
Peugeot,108,50.135 km,04/2021,Manuell,Benzin,53 kW (72 PS),3l/100km,120g CO2/km (WLTP,11.089
Ford,Transit Connect,29.808 km,09/2021,Manuell,Diesel,74 kW (101 PS),7l/100km,186g CO2/km (komb)*,20.989
Volkswagen,up!,40.270 km,07/2021,Manuell,Benzin,48 kW (65 PS),8l/100km,185g CO2/km (komb)*,13.489
Skoda,Karoq,26.890 km,07/2021,Manuell,Benzin,81 kW (110 PS),8l/100km,185g CO2/km (komb)*,23.489
Volkswagen,Passat,70.881 km,03/2021,Automatik,Benzin,160 kW (218 PS),8l/100km,185g CO2/km (komb)*,28.589
Skoda,Karoq,66.910 km,07/2021,Manuell,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,25.489
Volkswagen,Tiguan,28.000 km,03/2021,Automatik,Benzin,180 kW (245 PS),8l/100km,185g CO2/km (komb)*,36.989
Volkswagen,Passat,72.072 km,11/2021,Automatik,Diesel,110 kW (150 PS),8l/100km,127g CO2/km (WLTP,24.689
Seat,Tarraco,61.385 km,10/2021,Manuell,Diesel,110 kW (150 PS),4l/100km,141g CO2/km (WLTP,26.989
Seat,Tarraco,61.385 km,10/2021,Manuell,Diesel,110 kW (150 PS),4l/100km,141g CO2/km (WLTP,25.689
Seat,Tarraco,38.090 km,10/2021,Manuell,Benzin,110 kW (150 PS),2l/100km,163g CO2/km (WLTP,31.889
Seat,Tarraco,38.090 km,10/2021,Manuell,Benzin,110 kW (150 PS),2l/100km,163g CO2/km (WLTP,33.189
Seat,Ibiza,22.300 km,08/2021,Manuell,Benzin,59 kW (80 PS),5l/100km,125g CO2/km (WLTP,15.689
Skoda,Kodiaq,49.987 km,10/2021,Automatik,Diesel,147 kW (200 PS),5l/100km,171g CO2/km (WLTP,41.489
Volkswagen,Arteon,38.019 km,11/2021,Automatik,Benzin,140 kW (190 PS),3l/100km,167g CO2/km (WLTP,32.889
Volkswagen,Passat,72.072 km,11/2021,Automatik,Diesel,110 kW (150 PS),8l/100km,127g CO2/km (WLTP,25.989
Volkswagen,Polo,29.023 km,11/2021,Manuell,Benzin,59 kW (80 PS),4l/100km,123g CO2/km (WLTP,17.689
Renault,ZOE,49.367 km,12/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (WLTP,17.448
Skoda,Octavia,78.000 km,11/2021,Automatik,Benzin,180 kW (245 PS),1l/100km,161g CO2/km (WLTP,35.089
Audi,Q4 e-tron,35.836 km,06/2021,Automatik,Elektro,150 kW (204 PS),,0g CO2/km (komb)*,47.889
Audi,Q4 e-tron,39.431 km,11/2021,Automatik,Elektro,220 kW (299 PS),,0g CO2/km (komb)*,52.489
Skoda,Citigo,46.452 km,05/2021,Automatik,Elektro,61 kW (83 PS),,0g CO2/km (komb)*,14.989
Volkswagen,Polo,32.460 km,02/2021,Manuell,Benzin,70 kW (95 PS),8l/100km,185g CO2/km (komb)*,18.489
Volkswagen,Polo,41.950 km,06/2021,Manuell,Benzin,70 kW (95 PS),8l/100km,185g CO2/km (komb)*,18.489
Volkswagen,ID.3,48.487 km,08/2021,Automatik,Elektro,150 kW (204 PS),,0g CO2/km (komb)*,25.989
Volkswagen,ID.4,36.839 km,07/2021,Automatik,Elektro,109 kW (148 PS),,0g CO2/km (komb)*,24.989
Dacia,Duster,62.750 km,02/2021,Manuell,Autogas,74 kW (101 PS),,96g CO2/km (komb)*,15.848
Volkswagen,T6 Kombi,110.759 km,11/2021,Manuell,Diesel,81 kW (110 PS),7l/100km,186g CO2/km (komb)*,32.489
Volkswagen,Touran,60.458 km,12/2021,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,33.489
Opel,Mokka-e,22.325 km,05/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,20.689
Opel,Corsa-e,14.151 km,05/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,18.689
Opel,Corsa-e,23.763 km,11/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,17.689
Opel,Mokka,22.754 km,10/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,19.689
Opel,Mokka-e,21.608 km,06/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,20.689
Opel,Corsa-e,19.549 km,05/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,17.689
Opel,Mokka,24.944 km,07/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,18.689
Opel,Corsa-e,24.943 km,04/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,16.689
Opel,Mokka-e,24.798 km,09/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,19.689
Opel,Corsa-e,9.393 km,11/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,19.289
Volkswagen,SONSTIGE,54.966 km,12/2021,Automatik,Benzin,235 kW (320 PS),8l/100km,185g CO2/km (komb)*,40.789
Ford,Kuga,60.000 km,11/2021,Automatik,Hybrid (Elektro / Benzin),165 kW (224 PS),8l/100km,85g CO2/km (komb)*,29.589
Land Rover,Range Rover Velar,81.750 km,02/2021,Automatik,Diesel,221 kW (1 PS),5l/100km,96g CO2/km (komb)*,55.648
Audi,SONSTIGE,39.900 km,12/2021,Automatik,Hybrid (Elektro / Benzin),150 kW (204 PS),8l/100km,85g CO2/km (komb)*,27.389
Kia,XCeed,44.690 km,04/2021,Manuell,Benzin,103 kW (140 PS),8l/100km,185g CO2/km (komb)*,25.248
Jaguar,F-Pace,59.828 km,04/2021,Automatik,Hybrid (Elektro / Benzin),297 kW (404 PS),4l/100km,32g CO2/km (komb)*,47.448
Land Rover,Range Rover Evoque,38.932 km,06/2021,Automatik,Hybrid (Elektro / Benzin),227 kW (200 PS),4l/100km,32g CO2/km (komb)*,42.648
Opel,Mokka-e,4.312 km,06/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,18.689
Land Rover,Range Rover Evoque,36.933 km,05/2021,Automatik,Hybrid (Elektro / Benzin),147 kW (200 PS),4l/100km,32g CO2/km (komb)*,43.948
Land Rover,Defender,97.587 km,07/2021,Automatik,Hybrid (Elektro / Benzin),297 kW (301 PS),4l/100km,32g CO2/km (komb)*,78.748
Jaguar,F-Pace,49.310 km,07/2021,Automatik,Hybrid (Elektro / Benzin),297 kW (301 PS),4l/100km,32g CO2/km (komb)*,50.848
Skoda,Kamiq,22.100 km,12/2021,Automatik,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,24.748
Land Rover,Range Rover Evoque,29.012 km,03/2021,Automatik,Diesel,120 kW (163 PS),0l/100km,0g CO2/km (WLTP,42.749
Opel,Grandland X,25.990 km,06/2021,Automatik,Benzin,133 kW (181 PS),1l/100km,31g CO2/km (WLTP,19.689
Volkswagen,up!,23.800 km,10/2021,Manuell,Benzin,48 kW (65 PS),2l/100km,118g CO2/km (WLTP,14.289
Renault,ZOE,22.867 km,12/2021,Automatik,Elektro,80 kW (109 PS),,0g CO2/km (WLTP,15.948
Ford,Mondeo,32.677 km,10/2021,Automatik,Benzin,138 kW (188 PS),8l/100km,185g CO2/km (komb)*,29.349
Ford,Kuga,68.142 km,07/2021,Automatik,Hybrid (Elektro / Benzin),165 kW (224 PS),8l/100km,85g CO2/km (komb)*,29.189
Hyundai,IONIQ,14.000 km,12/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,23.089
Seat,Leon,60.350 km,04/2021,Automatik,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,24.989
Volkswagen,Polo,60.195 km,11/2021,Automatik,Benzin,70 kW (95 PS),8l/100km,185g CO2/km (komb)*,20.489
Jaguar,F-Pace,46.028 km,03/2021,Automatik,Hybrid (Elektro / Benzin),297 kW (301 PS),8l/100km,85g CO2/km (komb)*,67.248
Renault,ZOE,31.600 km,08/2021,Automatik,Elektro,80 kW (109 PS),,0g CO2/km (WLTP,17.248
Hyundai,Tucson,36.738 km,11/2021,Manuell,Benzin,110 kW (150 PS),3l/100km,144g CO2/km (komb)*,27.348
Skoda,Kodiaq,71.035 km,08/2021,Automatik,Benzin,140 kW (190 PS),8l/100km,185g CO2/km (komb)*,33.789
Skoda,Octavia,76.770 km,11/2021,Automatik,Benzin,180 kW (245 PS),8l/100km,185g CO2/km (komb)*,32.589
Ford,Tourneo Custom,44.510 km,07/2021,Automatik,Diesel,136 kW (185 PS),7l/100km,186g CO2/km (komb)*,40.789
Opel,Corsa-e,16.677 km,05/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,18.289
Opel,Mokka-e,16.088 km,04/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,19.689
Opel,Corsa-e,22.413 km,06/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,17.689
Opel,Corsa-e,32.670 km,04/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,16.289
Opel,Corsa-e,18.082 km,06/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,18.289
Land Rover,Discovery Sport,49.591 km,02/2021,Automatik,Hybrid (Elektro / Benzin),227 kW (200 PS),4l/100km,32g CO2/km (komb)*,45.748
Land Rover,Range Rover Evoque,43.225 km,04/2021,Automatik,Hybrid (Elektro / Benzin),227 kW (309 PS),4l/100km,43g CO2/km (komb)*,47.348
Ford,Puma,49.000 km,06/2021,Automatik,Benzin,92 kW (125 PS),9l/100km,134g CO2/km (WLTP,22.589
Ford,Focus,25.657 km,10/2021,Manuell,Benzin,114 kW (155 PS),9l/100km,134g CO2/km (WLTP,21.489
Hyundai,Kona,57.460 km,06/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,25.089
Kia,Stonic,43.750 km,07/2021,Manuell,Benzin,62 kW (84 PS),6l/100km,129g CO2/km (komb)*,13.348
Ford,Kuga,23.935 km,11/2021,Automatik,Hybrid (Elektro / Benzin),165 kW (224 PS),8l/100km,85g CO2/km (komb)*,35.489
Seat,Tarraco,54.106 km,11/2021,Automatik,Diesel,110 kW (150 PS),7l/100km,148g CO2/km (WLTP,28.789
Volkswagen,Arteon,19.987 km,12/2021,Automatik,Benzin,140 kW (190 PS),3l/100km,166g CO2/km (WLTP,34.989
Seat,Leon,29.754 km,09/2021,Manuell,Benzin,96 kW (131 PS),6l/100km,126g CO2/km (WLTP,22.689
Seat,Tarraco,54.106 km,11/2021,Automatik,Diesel,110 kW (150 PS),7l/100km,148g CO2/km (WLTP,30.089
Opel,Corsa-e,7.289 km,05/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,16.689
Opel,Corsa-e,15.162 km,05/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,18.689
Ford,Puma,70.642 km,05/2021,Automatik,Benzin,92 kW (125 PS),9l/100km,135g CO2/km (WLTP,24.089
Opel,Corsa-e,28.544 km,02/2021,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,15.689
Volkswagen,T6 Transporter,118.000 km,07/2021,Manuell,Diesel,110 kW (150 PS),1l/100km,186g CO2/km (WLTP,23.589
