Brand,Model,YearMonth,cleaned_Price,Price_Eval,Kilometer,Gear_Type,Fuel_Type,Consumption,CO2_g_km,Power_PS,source
Ford,Focus,2017.0,15.949,,84200.0,Automatik,Benzin,1.0,140.0,182.0,Auto.de
Porsche,Panamera,2017.0,98.049,,94400.0,Automatik,Hybrid (Elektro / Benzin),9.0,69.0,680.0,Auto.de
Opel,Crossland X,2017.0,14.649,,67380.0,Schaltgetriebe,Benzin,8.0,114.0,131.0,Auto.de
Audi,Q2,2017.0,25.149,,136670.0,Automatik,Diesel,7.0,186.0,190.0,Auto.de
Kia,Sportage,2017.0,21.249,,71800.0,Automatik,Benzin,8.0,185.0,177.0,Auto.de
Toyota,RAV 4,2017.0,23.349,,87436.0,Automatik,Hybrid (Elektro / Benzin),9.0,115.0,197.0,Auto.de
Mercedes-Benz,Citan,2017.0,17.549,,77111.0,Automatik,Benzin,8.0,185.0,114.0,Auto.de
Volkswagen,Caddy,2017.0,22.349,,102900.0,Automatik,Benzin,7.0,130.0,125.0,Auto.de
Jaguar,XF,2017.0,25.349,,119500.0,Automatik,Diesel,8.0,124.0,180.0,Auto.de
Jaguar,XF,2017.0,39.749,,86000.0,Automatik,Diesel,3.0,114.0,180.0,Auto.de
Skoda,Octavia,2017.0,22.249,,93700.0,Automatik,Diesel,7.0,186.0,184.0,Auto.de
Mercedes-Benz,V 220,2017.0,36.049,,146950.0,Automatik,Diesel,7.0,186.0,163.0,Auto.de
Honda,Civic,2017.0,16.949,,126524.0,Schaltgetriebe,Benzin,1.0,117.0,129.0,Auto.de
Citroen,C3,2017.0,12.049,,88875.0,Schaltgetriebe,Benzin,6.0,0.0,110.0,Auto.de
Nissan,Qashqai,2017.0,19.849,,74000.0,Schaltgetriebe,Benzin,8.0,185.0,163.0,Auto.de
Abarth,500,2017.0,17.949,,54500.0,Schaltgetriebe,Benzin,0.0,0.0,160.0,Auto.de
Peugeot,3008,2017.0,24.849,,54362.0,Automatik,Diesel,4.0,114.0,180.0,Auto.de
Ford,Galaxy,2017.0,25.449,,112179.0,Automatik,Diesel,4.0,134.0,150.0,Auto.de
Ford,Focus,2017.0,16.949,,67935.0,Automatik,Benzin,5.0,125.0,125.0,Auto.de
Mini,ONE,2017.0,13.849,,67000.0,Schaltgetriebe,Benzin,8.0,185.0,102.0,Auto.de
Peugeot,208,2017.0,9.449,,88600.0,Schaltgetriebe,Benzin,4.0,102.0,68.0,Auto.de
Jaguar,F-Pace,2017.0,35.449,,62000.0,Automatik,Diesel,3.0,166.0,301.0,Auto.de
Audi,A6 Allroad,2017.0,28.549,,95417.0,Automatik,Diesel,7.0,186.0,190.0,Auto.de
Audi,A1,2017.0,15.749,,62200.0,Schaltgetriebe,Benzin,8.0,102.0,95.0,Auto.de
BMW,X1,2017.0,18.049,,109839.0,Schaltgetriebe,Benzin,3.0,121.0,140.0,Auto.de
Mercedes-Benz,Vito,2017.0,50.849,,106376.0,Automatik,Diesel,7.0,186.0,190.0,Auto.de
Ford,Galaxy,2017.0,24.649,,111877.0,Automatik,Diesel,4.0,134.0,150.0,Auto.de
Honda,CR-V,2017.0,19.149,,78960.0,Schaltgetriebe,Benzin,2.0,168.0,155.0,Auto.de
Mazda,CX-5,2017.0,26.449,,66653.0,Automatik,Benzin,8.0,162.0,194.0,Auto.de
Seat,Alhambra,2017.0,31.849,,73900.0,Automatik,Diesel,7.0,186.0,150.0,Auto.de
Ford,Kuga,2017.0,17.449,,65500.0,Schaltgetriebe,Benzin,8.0,185.0,150.0,Auto.de
Mercedes-Benz,E 200,2017.0,30.749,,42395.0,Automatik,Benzin,8.0,152.0,184.0,Auto.de
Ford,Focus,2017.0,15.849,,136600.0,Schaltgetriebe,Diesel,7.0,110.0,185.0,Auto.de
Land Rover,Range Rover Evoque,2017.0,31.749,,35000.0,Automatik,Diesel,0.0,0.0,150.0,Auto.de
Seat,Leon,2017.0,16.449,,60000.0,Schaltgetriebe,Benzin,0.0,0.0,116.0,Auto.de
Mazda,CX-3,2017.0,16.949,,86897.0,Schaltgetriebe,Benzin,8.0,185.0,120.0,Auto.de
Opel,Meriva,2017.0,11.649,,74560.0,Schaltgetriebe,Benzin,8.0,185.0,120.0,Auto.de
Seat,Leon,2017.0,16.949,,81549.0,Schaltgetriebe,Benzin,0.0,0.0,150.0,Auto.de
Opel,Crossland X,2017.0,14.849,,47159.0,Schaltgetriebe,Benzin,9.0,109.0,110.0,Auto.de
Mercedes-Benz,C 43 AMG,2017.0,38.149,,115000.0,Automatik,Benzin,8.0,178.0,367.0,Auto.de
Ford,Focus,2017.0,15.749,,59990.0,Automatik,Benzin,8.0,185.0,125.0,Auto.de
Ford,C-Max,2017.0,13.349,,137000.0,Schaltgetriebe,Benzin,8.0,139.0,150.0,Auto.de
Land Rover,Range Rover Evoque,2017.0,28.649,,88500.0,Automatik,Diesel,7.0,186.0,180.0,Auto.de
Skoda,Superb,2017.0,21.249,,109600.0,Automatik,Diesel,7.0,186.0,150.0,Auto.de
Volkswagen,Caddy,2017.0,17.049,,80000.0,Schaltgetriebe,Diesel,7.0,186.0,102.0,Auto.de
Mazda,MX-5,2017.0,20.949,,65900.0,Schaltgetriebe,Benzin,8.0,185.0,160.0,Auto.de
Kia,Sportage,2017.0,19.649,,81224.0,Automatik,Benzin,8.0,185.0,177.0,Auto.de
Seat,SONSTIGE,2017.0,16.049,,91640.0,Schaltgetriebe,Benzin,8.0,185.0,150.0,Auto.de
Opel,Corsa,2017.0,13.049,,34100.0,Automatik,Benzin,8.0,185.0,90.0,Auto.de
Alfa,Romeo Stelvio,2017.0,32.749,,53371.0,Automatik,Benzin,0.0,0.0,280.0,Auto.de
Volkswagen,Tiguan,2017.0,20.076,,72850.0,Schaltgetriebe,Benzin,0.0,0.0,125.0,Auto.de
Ford,Kuga,2017.0,16.749,,130750.0,Schaltgetriebe,Diesel,7.0,135.0,150.0,Auto.de
Renault,Megane,2017.0,14.549,,48000.0,Schaltgetriebe,Benzin,0.0,0.0,101.0,Auto.de
Volkswagen,Golf,2017.0,14.449,,90000.0,Schaltgetriebe,Benzin,0.0,0.0,110.0,Auto.de
Peugeot,Partner Tepee,2017.0,14.049,,138000.0,Schaltgetriebe,Benzin,8.0,185.0,110.0,Auto.de
Volkswagen,T6 Multivan,2017.0,40.049,,148000.0,Automatik,Diesel,7.0,186.0,204.0,Auto.de
Opel,Insignia,2017.0,21.049,,135000.0,Automatik,Benzin,8.0,185.0,260.0,Auto.de
Skoda,Octavia,2017.0,23.649,,92000.0,Automatik,Benzin,6.0,0.0,230.0,Auto.de
Peugeot,308,2017.0,16.949,,48670.0,Schaltgetriebe,Benzin,6.0,107.0,131.0,Auto.de
Mercedes-Benz,G 350,2017.0,92.149,,45350.0,Automatik,Diesel,7.0,186.0,245.0,Auto.de
Ford,S-Max,2017.0,19.949,,104600.0,Automatik,Diesel,4.0,129.0,180.0,Auto.de
Kia,Soul,2017.0,14.749,,86000.0,Automatik,Elektro,,0.0,110.0,Auto.de
