Unnamed: 0.1;Unnamed: 0;Brand;Model;YearMonth;cleaned_Price;Price_Eval;Kilometer;Gear_Type;Fuel_Type;Consumption;CO2_g_km;Power_PS;Price_per_km;Fuel_Cost_per_100km;Annual_Fuel_Cost;CO2_per_year;CO2_Emission_Category;Marketplace;car_age
1928;1928;Ford;SONSTIGE;1-10-2021;20.989;;63387.0;Schaltgetriebe;Benzin;1.0;138.0;155.0;0.00033112467856185023;1.77;327.45;2553.0;False;Auto.de;3.485.284.052.019.160
1929;1929;Ford;Puma;1-2-2021;21.989;;32391.0;Schaltgetriebe;Benzin;8.0;185.0;155.0;0.0006788614121206509;14.16;2619.6;3422.5;False;Auto.de;4.147.843.942.505.130
1930;1930;Ford;Focus;1-11-2021;22.589;;13542.0;Schaltgetriebe;Benzin;9.0;134.0;155.0;0.0016680697090533155;15.93;2947.05;2479.0;False;Auto.de;340.041.067.761.807
1931;1931;Ford;Mustang;1-6-2021;44.689;;54492.0;Automatik;Benzin;8.0;185.0;450.0;0.0008201020333259929;14.16;2619.6;3422.5;False;Auto.de;38.193.018.480.492.800
1932;1932;Ford;Puma;1-11-2021;22.989;;33644.0;Schaltgetriebe;Benzin;1.0;138.0;155.0;0.0006833016288194032;1.77;327.45;2553.0;False;Auto.de;340.041.067.761.807
1933;1933;Ford;Puma;1-1-2021;23.989;;47752.0;Automatik;Benzin;8.0;185.0;125.0;0.0005023663930306584;14.16;2619.6;3422.5;False;Auto.de;4.232.717.316.906.220
1934;1934;Ford;Focus;1-3-2021;22.989;;37740.0;Automatik;Diesel;7.0;186.0;150.0;0.0006091414944356121;12.39;2292.15;3441.0;False;Auto.de;4.071.184.120.465.430
1935;1935;Ford;Kuga;1-2-2021;24.989;;35732.0;Schaltgetriebe;Benzin;8.0;185.0;150.0;0.0006993451248180902;14.16;2619.6;3422.5;False;Auto.de;4.147.843.942.505.130
1936;1936;Ford;Puma;1-8-2021;24.989;;22781.0;Schaltgetriebe;Benzin;8.0;185.0;200.0;0.0010969228743250956;14.16;2619.6;3422.5;False;Auto.de;3.652.292.950.034.220
1937;1937;Ford;Kuga;1-7-2021;30.089;;29487.0;Automatik;Benzin;8.0;185.0;190.0;0.0010204157764438565;14.16;2619.6;3422.5;False;Auto.de;37.371.663.244.353.100
1938;1938;Ford;Transit Custom;1-10-2021;32.189;;69272.0;Schaltgetriebe;Diesel;7.0;186.0;131.0;0.000464675482157293;12.39;2292.15;3441.0;False;Auto.de;3.485.284.052.019.160
1939;1939;Ford;Ranger;1-5-2021;48.389;;30556.0;Automatik;Diesel;7.0;186.0;212.0;0.0015836169655714099;12.39;2292.15;3441.0;False;Auto.de;39.041.752.224.503.700
1940;1940;Volkswagen;Passat Variant;1-5-2021;28.689;;31080.0;Automatik;Hybrid (Elektro / Benzin);1.0;139.0;218.0;0.0009230694980694981;1.77;327.45;2571.5;False;Auto.de;39.041.752.224.503.700
1941;1941;Volkswagen;Golf Variant;1-12-2021;23.489;;106940.0;Automatik;Diesel;7.0;186.0;150.0;0.00021964653076491492;12.39;2292.15;3441.0;False;Auto.de;33.182.751.540.041.000
1942;1942;Audi;SONSTIGE;1-5-2021;27.489;;67259.0;Automatik;Hybrid (Elektro / Benzin);8.0;85.0;204.0;0.0004087036679106142;14.16;2619.6;1572.5;True;Auto.de;39.041.752.224.503.700
1943;1943;BMW;SONSTIGE;1-3-2021;40.189;;61230.0;Automatik;Diesel;8.0;151.0;190.0;0.0006563612608198596;14.16;2619.6;2793.5;False;Auto.de;4.071.184.120.465.430
1944;1944;Skoda;Karoq;1-1-2021;29.289;;26259.0;Automatik;Benzin;4.0;146.0;150.0;0.0011153890094824633;7.08;1309.8;2701.0;False;Auto.de;4.232.717.316.906.220
1945;1945;Skoda;Karoq;1-12-2021;27.089;;51676.0;Automatik;Benzin;8.0;185.0;150.0;0.0005242085300719869;14.16;2619.6;3422.5;False;Auto.de;33.182.751.540.041.000
1946;1946;Volkswagen;T-Cross;1-10-2021;24.889;;42243.0;Automatik;Benzin;8.0;185.0;110.0;0.000589186374073811;14.16;2619.6;3422.5;False;Auto.de;3.485.284.052.019.160
1947;1947;Skoda;Octavia;1-2-2021;23.589;;112369.0;Automatik;Diesel;7.0;186.0;150.0;0.0002099244453541457;12.39;2292.15;3441.0;False;Auto.de;4.147.843.942.505.130
1948;1948;Audi;A4 Allroad;1-1-2021;37.189;;76847.0;Automatik;Diesel;7.0;186.0;190.0;0.0004839356123205851;12.39;2292.15;3441.0;False;Auto.de;4.232.717.316.906.220
1949;1949;Jaguar;E-Pace;1-11-2021;40.048;;31092.0;Automatik;Hybrid (Elektro / Benzin);4.0;32.0;309.0;0.0012880483725717228;7.08;1309.8;592.0;True;Auto.de;340.041.067.761.807
1950;1950;Volkswagen;Polo;1-6-2021;19.589;;53083.0;Automatik;Benzin;8.0;185.0;95.0;0.0003690258651545692;14.16;2619.6;3422.5;False;Auto.de;38.193.018.480.492.800
1951;1951;Volkswagen;ID.3;1-7-2021;19.689;;30333.0;Automatik;Elektro;;0.0;150.0;0.0006490950450004945;;;0.0;True;Auto.de;37.371.663.244.353.100
1952;1952;Volkswagen;T6 Caravelle;1-6-2021;43.589;;65526.0;Automatik;Diesel;7.0;186.0;150.0;0.0006652168604828618;12.39;2292.15;3441.0;False;Auto.de;38.193.018.480.492.800
1953;1953;Volkswagen;Passat;1-6-2021;30.189;;83816.0;Automatik;Diesel;7.0;186.0;200.0;0.0003601818268588336;12.39;2292.15;3441.0;False;Auto.de;38.193.018.480.492.800
1954;1954;Volkswagen;Golf;1-12-2021;25.989;;27501.0;Automatik;Benzin;8.0;185.0;245.0;0.0009450201810843243;14.16;2619.6;3422.5;False;Auto.de;33.182.751.540.041.000
1955;1955;Volkswagen;Passat;1-7-2021;31.189;;28515.0;Automatik;Diesel;7.0;186.0;150.0;0.001093775206031913;12.39;2292.15;3441.0;False;Auto.de;37.371.663.244.353.100
1956;1956;Ford;Fiesta;1-11-2021;13.589;;67300.0;Schaltgetriebe;Benzin;7.0;129.0;75.0;0.00020191679049034176;12.39;2292.15;2386.5;True;Auto.de;340.041.067.761.807
1957;1957;Renault;Twingo;1-7-2021;14.948;;15940.0;Automatik;Elektro;;0.0;82.0;0.0009377666248431618;;;0.0;True;Auto.de;37.371.663.244.353.100
